stock,n_test,n_train,accuracy,method,time,ahead
AAPL,960,250,0.5177083333333333,NB,20,5
AAPL,960,250,0.48333333333333334,LDA,20,5
AAPL,960,250,0.5114583333333333,RF,20,5
AAPL,960,250,0.4708333333333333,SVM,20,5
AAPL,960,250,0.5364583333333334,RG,20,5
AAPL,960,250,0.49895833333333334,KNN,3,10
AAPL,960,250,0.48541666666666666,NB,3,10
AAPL,960,250,0.5166666666666667,LDA,3,10
AAPL,960,250,0.48333333333333334,RF,3,10
AAPL,960,250,0.5145833333333333,SVM,3,10
AAPL,960,250,0.51875,RG,3,10
AAPL,960,250,0.49270833333333336,KNN,5,10
AAPL,960,250,0.515625,NB,5,10
AAPL,960,250,0.5364583333333334,LDA,5,10
AAPL,960,250,0.503125,RF,5,10
AAPL,960,250,0.5427083333333333,SVM,5,10
AAPL,960,250,0.4979166666666667,RG,5,10
AAPL,960,250,0.55,KNN,10,10
AAPL,960,250,0.5052083333333334,NB,10,10
AAPL,960,250,0.53125,LDA,10,10
AAPL,960,250,0.5072916666666667,RF,10,10
AAPL,960,250,0.5135416666666667,SVM,10,10
AAPL,960,250,0.47291666666666665,RG,10,10
AAPL,960,250,0.490625,KNN,20,10
AAPL,960,250,0.5291666666666667,NB,20,10
AAPL,960,250,0.509375,LDA,20,10
AAPL,960,250,0.5145833333333333,RF,20,10
AAPL,960,250,0.503125,SVM,20,10
AAPL,960,250,0.5166666666666667,RG,20,10
AAPL,960,250,0.47291666666666665,KNN,3,20
AAPL,960,250,0.5322916666666667,NB,3,20
AAPL,960,250,0.5197916666666667,LDA,3,20
AAPL,960,250,0.5041666666666667,RF,3,20
AAPL,960,250,0.5125,SVM,3,20
AAPL,960,250,0.5114583333333333,RG,3,20
AAPL,960,250,0.5322916666666667,KNN,5,20
AAPL,960,250,0.5052083333333334,NB,5,20
AAPL,960,250,0.5010416666666667,LDA,5,20
AAPL,960,250,0.5052083333333334,RF,5,20
AAPL,960,250,0.5,SVM,5,20
AAPL,960,250,0.496875,RG,5,20
AAPL,960,250,0.5166666666666667,KNN,10,20
AAPL,960,250,0.5125,NB,10,20
AAPL,960,250,0.5375,LDA,10,20
AAPL,960,250,0.5177083333333333,RF,10,20
AAPL,960,250,0.509375,SVM,10,20
AAPL,960,250,0.5104166666666666,RG,10,20
AAPL,960,250,0.5270833333333333,KNN,20,20
AAPL,960,250,0.5333333333333333,NB,20,20
AAPL,960,250,0.5010416666666667,LDA,20,20
AAPL,960,250,0.503125,RF,20,20
AAPL,960,250,0.5041666666666667,SVM,20,20
AAPL,960,250,0.4979166666666667,RG,20,20
AAPL,1920,250,0.5046875,KNN,3,1
AAPL,1920,250,0.5109375,NB,3,1
AAPL,1920,250,0.5171875,LDA,3,1
AAPL,1920,250,0.4984375,RF,3,1
AAPL,1920,250,0.5114583333333333,SVM,3,1
AAPL,1920,250,0.4895833333333333,RG,3,1
AAPL,1920,250,0.50625,KNN,5,1
AAPL,1920,250,0.48489583333333336,NB,5,1
AAPL,1920,250,0.5177083333333333,LDA,5,1
AAPL,1920,250,0.5088541666666667,RF,5,1
AAPL,1920,250,0.5192708333333333,SVM,5,1
AAPL,1920,250,0.49166666666666664,RG,5,1
AAPL,1920,250,0.4815007816571131,KNN,10,1
AAPL,1920,250,0.48306409588327254,NB,10,1
AAPL,1920,250,0.49713392391870764,LDA,10,1
AAPL,1920,250,0.501823866597186,RF,10,1
AAPL,1920,250,0.5044293903074518,SVM,10,1
AAPL,1920,250,0.4799374674309536,RG,10,1
AAPL,1920,250,0.5190203230849401,KNN,20,1
AAPL,1920,250,0.5122459614382491,NB,20,1
AAPL,1920,250,0.5054715997915581,LDA,20,1
AAPL,1920,250,0.5039082855653987,RF,20,1
AAPL,1920,250,0.501823866597186,SVM,20,1
AAPL,1920,250,0.5080771235018239,RG,20,1
AAPL,1920,250,0.5322916666666667,KNN,3,5
AAPL,1920,250,0.5322916666666667,NB,3,5
AAPL,1920,250,0.5192708333333333,LDA,3,5
AAPL,1920,250,0.5098958333333333,RF,3,5
AAPL,1920,250,0.5265625,SVM,3,5
AAPL,1920,250,0.47760416666666666,RG,3,5
AAPL,1920,250,0.5369791666666667,KNN,5,5
AAPL,1920,250,0.5276041666666667,NB,5,5
AAPL,1920,250,0.5213541666666667,LDA,5,5
AAPL,1920,250,0.5182291666666666,RF,5,5
AAPL,1920,250,0.5244791666666667,SVM,5,5
AAPL,1920,250,0.4973958333333333,RG,5,5
AAPL,1920,250,0.5065138092756644,KNN,10,5
AAPL,1920,250,0.5080771235018239,NB,10,5
AAPL,1920,250,0.5195414278269932,LDA,10,5
AAPL,1920,250,0.5096404377279833,RF,10,5
AAPL,1920,250,0.5169359041167274,SVM,10,5
AAPL,1920,250,0.46951537258989057,RG,10,5
AAPL,1920,250,0.5216258467952058,KNN,20,5
AAPL,1920,250,0.515372589890568,NB,20,5
AAPL,1920,250,0.5117248566961959,LDA,20,5
AAPL,1920,250,0.5216258467952058,RF,20,5
AAPL,1920,250,0.5080771235018239,SVM,20,5
AAPL,1920,250,0.5028660760812923,RG,20,5
AAPL,1920,250,0.49088066701406985,KNN,3,10
AAPL,1920,250,0.5237102657634184,NB,3,10
AAPL,1920,250,0.4955706096925482,LDA,3,10
AAPL,1920,250,0.4898384575299635,RF,3,10
AAPL,1920,250,0.491401771756123,SVM,3,10
AAPL,1920,250,0.4934861907243356,RG,3,10
AAPL,1920,250,0.5205836373110996,KNN,5,10
AAPL,1920,250,0.5216258467952058,NB,5,10
AAPL,1920,250,0.49609171443460137,LDA,5,10
AAPL,1920,250,0.48514851485148514,RF,5,10
AAPL,1920,250,0.5002605523710266,SVM,5,10
AAPL,1920,250,0.4945284002084419,RG,5,10
AAPL,1920,250,0.496875,KNN,10,10
AAPL,1920,250,0.4973958333333333,NB,10,10
AAPL,1920,250,0.4869791666666667,LDA,10,10
AAPL,1920,250,0.5046875,RF,10,10
AAPL,1920,250,0.5020833333333333,SVM,10,10
AAPL,1920,250,0.5125,RG,10,10
AAPL,1920,250,0.47760416666666666,KNN,20,10
AAPL,1920,250,0.48541666666666666,NB,20,10
AAPL,1920,250,0.5140625,LDA,20,10
AAPL,1920,250,0.49583333333333335,RF,20,10
AAPL,1920,250,0.5104166666666666,SVM,20,10
AAPL,1920,250,0.4984375,RG,20,10
AAPL,1920,250,0.48410630536737886,KNN,3,20
AAPL,1920,250,0.4533611255862428,NB,3,20
AAPL,1920,250,0.49973944762897343,LDA,3,20
AAPL,1920,250,0.48723293381969773,RF,3,20
AAPL,1920,250,0.4700364773319437,SVM,3,20
AAPL,1920,250,0.504950495049505,RG,3,20
AAPL,1920,250,0.45231891610213654,KNN,5,20
AAPL,1920,250,0.46743095362167797,NB,5,20
AAPL,1920,250,0.47889525794684734,LDA,5,20
AAPL,1920,250,0.5164147993746743,RF,5,20
AAPL,1920,250,0.4757686294945284,SVM,5,20
AAPL,1920,250,0.5080771235018239,RG,5,20
AAPL,1920,250,0.5057291666666667,KNN,10,20
AAPL,1920,250,0.490625,NB,10,20
AAPL,1920,250,0.5078125,LDA,10,20
AAPL,1920,250,0.5083333333333333,RF,10,20
AAPL,1920,250,0.521875,SVM,10,20
AAPL,1920,250,0.5067708333333333,RG,10,20
AAPL,1920,250,0.46927083333333336,KNN,20,20
AAPL,1920,250,0.5083333333333333,NB,20,20
AAPL,1920,250,0.490625,LDA,20,20
AAPL,1920,250,0.5,RF,20,20
AAPL,1920,250,0.5145833333333333,SVM,20,20
AAPL,1920,250,0.49583333333333335,RG,20,20
GOOG,120,250,0.55,KNN,3,1
GOOG,120,250,0.5166666666666667,NB,3,1
GOOG,120,250,0.48333333333333334,LDA,3,1
GOOG,120,250,0.45,RF,3,1
GOOG,120,250,0.45,SVM,3,1
GOOG,120,250,0.525,RG,3,1
GOOG,120,250,0.4583333333333333,KNN,5,1
GOOG,120,250,0.5583333333333333,NB,5,1
GOOG,120,250,0.48333333333333334,LDA,5,1
GOOG,120,250,0.4166666666666667,RF,5,1
GOOG,120,250,0.45,SVM,5,1
GOOG,120,250,0.4583333333333333,RG,5,1
GOOG,120,250,0.5333333333333333,KNN,10,1
GOOG,120,250,0.5583333333333333,NB,10,1
GOOG,120,250,0.49166666666666664,LDA,10,1
GOOG,120,250,0.49166666666666664,RF,10,1
GOOG,120,250,0.5166666666666667,SVM,10,1
GOOG,120,250,0.49166666666666664,RG,10,1
GOOG,120,250,0.5166666666666667,KNN,20,1
GOOG,120,250,0.48333333333333334,NB,20,1
GOOG,120,250,0.5666666666666667,LDA,20,1
GOOG,120,250,0.48333333333333334,RF,20,1
GOOG,120,250,0.55,SVM,20,1
GOOG,120,250,0.4583333333333333,RG,20,1
GOOG,120,250,0.5333333333333333,KNN,3,5
GOOG,120,250,0.48333333333333334,NB,3,5
GOOG,120,250,0.525,LDA,3,5
GOOG,120,250,0.525,RF,3,5
GOOG,120,250,0.525,SVM,3,5
GOOG,120,250,0.4166666666666667,RG,3,5
GOOG,120,250,0.5,KNN,5,5
GOOG,120,250,0.525,NB,5,5
GOOG,120,250,0.55,LDA,5,5
GOOG,120,250,0.49166666666666664,RF,5,5
GOOG,120,250,0.5666666666666667,SVM,5,5
GOOG,120,250,0.525,RG,5,5
GOOG,120,250,0.55,KNN,10,5
GOOG,120,250,0.5833333333333334,NB,10,5
GOOG,120,250,0.525,LDA,10,5
GOOG,120,250,0.48333333333333334,RF,10,5
GOOG,120,250,0.45,SVM,10,5
GOOG,120,250,0.4583333333333333,RG,10,5
GOOG,120,250,0.5416666666666666,KNN,20,5
GOOG,120,250,0.5583333333333333,NB,20,5
GOOG,120,250,0.5583333333333333,LDA,20,5
GOOG,120,250,0.5916666666666667,RF,20,5
GOOG,120,250,0.5333333333333333,SVM,20,5
GOOG,120,250,0.425,RG,20,5
GOOG,120,250,0.48333333333333334,KNN,3,10
GOOG,120,250,0.6,NB,3,10
GOOG,120,250,0.55,LDA,3,10
GOOG,120,250,0.5333333333333333,RF,3,10
GOOG,120,250,0.5166666666666667,SVM,3,10
GOOG,120,250,0.525,RG,3,10
GOOG,120,250,0.4583333333333333,KNN,5,10
GOOG,120,250,0.475,NB,5,10
GOOG,120,250,0.55,LDA,5,10
GOOG,120,250,0.5416666666666666,RF,5,10
GOOG,120,250,0.5416666666666666,SVM,5,10
GOOG,120,250,0.425,RG,5,10
GOOG,120,250,0.575,KNN,10,10
GOOG,120,250,0.5,NB,10,10
GOOG,120,250,0.55,LDA,10,10
GOOG,120,250,0.4583333333333333,RF,10,10
GOOG,120,250,0.5166666666666667,SVM,10,10
GOOG,120,250,0.5,RG,10,10
GOOG,120,250,0.49166666666666664,KNN,20,10
GOOG,120,250,0.575,NB,20,10
GOOG,120,250,0.5833333333333334,LDA,20,10
GOOG,120,250,0.55,RF,20,10
GOOG,120,250,0.525,SVM,20,10
GOOG,120,250,0.525,RG,20,10
GOOG,120,250,0.5666666666666667,KNN,3,20
GOOG,120,250,0.55,NB,3,20
GOOG,120,250,0.48333333333333334,LDA,3,20
GOOG,120,250,0.5166666666666667,RF,3,20
GOOG,120,250,0.525,SVM,3,20
GOOG,120,250,0.5416666666666666,RG,3,20
GOOG,120,250,0.5083333333333333,KNN,5,20
GOOG,120,250,0.4583333333333333,NB,5,20
GOOG,120,250,0.5166666666666667,LDA,5,20
GOOG,120,250,0.525,RF,5,20
GOOG,120,250,0.575,SVM,5,20
GOOG,120,250,0.55,RG,5,20
GOOG,120,250,0.425,KNN,10,20
GOOG,120,250,0.5916666666666667,NB,10,20
GOOG,120,250,0.5333333333333333,LDA,10,20
GOOG,120,250,0.5,RF,10,20
GOOG,120,250,0.575,SVM,10,20
GOOG,120,250,0.6333333333333333,RG,10,20
GOOG,120,250,0.475,KNN,20,20
GOOG,120,250,0.4,NB,20,20
GOOG,120,250,0.55,LDA,20,20
GOOG,120,250,0.475,RF,20,20
GOOG,120,250,0.5,SVM,20,20
